sex,age,country,image,estimated_bmi
M,50.0,Georgia,d67ce7fe7d27401a.jpg,31.3890925141525
M,43.0,Georgia,b813758d52601fe5.jpg,34.7216674801945
M,39.0,Georgia,7d666885cb098844.jpg,24.6797985298555
M,44.0,Georgia,18f4c7ff2618e24c.jpg,39.531864863756
M,36.0,Georgia,60952d516d45d112.jpg,27.2459137339396
M,43.0,Georgia,853264b54eb00fbf.jpg,38.4846037390596
M,,Georgia,40fa7c75daeeb4ef.jpg,31.8889955708568
M,54.0,Georgia,284b58128500a2d1.jpg,36.5179055390084
F,42.0,Georgia,f2e9fc652904e6bd.jpg,25.6005422865917
M,,Georgia,2f9f098b49af1606.jpg,42.5310761960372
M,39.0,Georgia,80157807adbb2366.jpg,25.4102068187332
M,42.0,Georgia,5b3f6ac5202450b4.jpg,35.0252050632052
M,49.0,Georgia,ae14faccef073602.jpg,35.59691517801
M,,Georgia,e71fa9682f256a44.jpg,30.1724047951909
M,,Georgia,c113a84ca1494750.jpg,30.7492184329077
M,,Georgia,1fd61de1fd1542b1.jpg,28.6510687930176
F,,Georgia,f5edf241fb4a1ca2.jpg,30.8964491116379
M,35.0,Georgia,6464b449eef28ad0.jpg,30.9893605112041
M,42.0,Georgia,7eb3b3c0698dc74b.jpg,29.9566438053967
M,,Georgia,1188962e2d297381.jpg,28.2593810569621
M,44.0,Georgia,34b1d9dcef4b4c1a.jpg,37.7204570691115
M,54.0,Kazakhstan,6e1926db5d6d8a14.jpg,36.4411109398433
M,52.0,Kazakhstan,2edbf396cdd75ab.jpg,33.3398172268389
M,47.0,Kazakhstan,6b5f0684e5bc6858.png,32.4388555053994
M,39.0,Kazakhstan,5fedb2aabc3117d0.jpg,34.1875848935201
M,55.0,Kazakhstan,c06bb065067f3ea4.jpg,32.405321116131
M,53.0,Kazakhstan,8b3cf28ff27552f5.jpg,33.8390692109636
M,53.0,Kazakhstan,970098664109ba37.jpg,23.254919010264
M,60.0,Kazakhstan,e27d7280d43162f1.jpg,32.4189087006943
M,54.0,Kazakhstan,d644fea68d94f970.jpg,36.2681152272064
M,39.0,Kazakhstan,50c25ea2b25305d0.jpg,40.8752751461805
M,38.0,Kazakhstan,a07e5443ef40dcf2.jpg,29.1979914992607
M,42.0,Kazakhstan,de2ca6337e49b2c8.jpg,41.6230359227817
M,51.0,Kazakhstan,7daf1aac511a1fbb.jpg,31.8967898238549
F,52.0,Kazakhstan,ea250d8134b5589f.jpg,30.8178479210892
M,,Kazakhstan,393d7b36a0598f4a.jpg,31.3281224594119
M,48.0,Kazakhstan,4e0abd8f884bcad5.jpg,42.414076370796
M,60.0,Kazakhstan,66e7bb89dc7d1e3c.jpg,35.3164965687424
M,40.0,Kazakhstan,617c80854adacff5.jpg,33.6519043166675
M,54.0,Kazakhstan,1e691382d09d007d.jpg,38.5297420632892
M,46.0,Kazakhstan,1be14815e1a89d7b.jpg,36.7083387402028
M,58.0,Kyrgyzstan,67281529cabb7154.jpg,30.571305584447
M,49.0,Kyrgyzstan,64c6acc3a3a9301b.jpg,29.6469726814746
M,,Kyrgyzstan,7665ddbd385680c0.jpg,31.6940700410299
M,,Kyrgyzstan,30c3175238851282.jpg,37.5174292092947
F,48.0,Kyrgyzstan,da4df60d90cc2521.jpg,31.267805208503
M,,Kyrgyzstan,f3c77beabd7bb30a.jpg,36.1460815586644
M,,Kyrgyzstan,614ad0288a6f78db.jpg,33.4069782207882
M,,Kyrgyzstan,9a69518b502b9b83.jpg,43.3926794717584
M,60.0,Kyrgyzstan,e3ecc78eb1762c0a.jpg,40.0084278587478
M,,Kyrgyzstan,f9f89a4c3d7bd18f.jpg,35.1625678923905
M,51.0,Kyrgyzstan,61b5c1ea8845df44.jpg,32.5480731222797
M,,Kyrgyzstan,3329147830c31e06.jpg,39.0349421944015
M,52.0,Kyrgyzstan,38d3ac7b568d54.jpg,35.3994105783297
M,,Kyrgyzstan,638b6db2d0bd96a9.jpg,31.574290836505
M,60.0,Kyrgyzstan,49a3f126d1b6d926.jpg,42.0254564723192
F,,Kyrgyzstan,a6dfa8751343d53.jpg,31.6236166640932
F,,Kyrgyzstan,1f8d9341e7f2ff56.jpg,31.6053623342131
M,55.0,Latvia,94f9c884f5ea0cff.jpg,30.8901066349618
M,54.0,Latvia,82963a2a2e6efae9.jpg,36.3793754621483
